"employee_id","issue_date","issue_type","start_date","retired_type"
1,"2023-01-15","01","2023-01-01",""
2,"2023-01-15","01","2023-01-01",""
2,"2023-02-01","10","2023-01-01",""
3,"2022-12-10","01","2022-12-01",""
3,"2023-05-10","10","2022-12-01",""
3,"2024-02-10","14","2022-12-01",""
4,"2023-01-15","01","2023-01-01",""
4,"2024-09-05","06","2021-11-01","020"
5,"2023-01-15","01","2023-01-01",""
5,"2024-10-01","06","2021-11-01","020"
6,"2023-01-15","01","2023-01-01",""
6,"2024-10-10","06","2021-11-01","020"
7,"2023-01-15","01","2023-01-01",""
7,"2024-08-05","06","2021-11-01","030"
8,"2023-01-15","01","2023-01-01",""
8,"2024-10-01","06","2021-11-01","030"
9,"2023-01-15","01","2023-01-01",""
9,"2024-10-10","06","2021-11-01","030"
10,"2023-01-15","01","2023-01-01",""
10,"2023-05-10","10","2022-12-01",""
10,"2024-02-10","14","2022-12-01",""
10,"2024-05-05","06","2021-11-01","010"
11,"2023-01-15","01","2023-01-01",""
11,"2023-05-10","10","2022-12-01",""
11,"2024-02-10","14","2022-12-01",""
11,"2024-05-05","06","2021-11-01","020"
12,"2023-01-15","01","2023-01-01",""
12,"2023-05-10","10","2022-12-01",""
12,"2024-02-10","14","2022-12-01",""
12,"2024-05-05","06","2021-11-01","030"
13,"2023-01-15","01","2023-01-01",""
13,"2023-05-10","10","2022-12-01",""
13,"2024-02-10","14","2022-12-01",""
13,"2024-10-01","06","2021-11-01","030"
14,"2023-01-15","01","2023-01-01",""
14,"2023-05-10","10","2022-12-01",""
14,"2024-10-01","06","2021-11-01","010"
